element,n_elements,n_minerals,n_localities,element_name,element_hsab,atomic_mass,number_of_protons,element_table_period,element_table_group,atomic_radius,pauling,element_metal_type,element_density,element_specific_heat,element_crust_percent_weight
Ag,28,172,3166,Silver,Soft acid,107.868,47,5,11,1.8,1.93,Transition Metal,10.5,0.235,5.577656115050492e-8
Al,52,881,10322,Aluminum,Hard acid,26.982,13,3,13,1.8,1.61,Metal,2.7,0.897,0.08381676204665961
As,59,634,4664,Arsenic,Hard acid,74.922,33,4,15,1.3,2.18,Metalloid,5.78,0.329,2.4900250513618273e-6
Au,12,31,5616,Gold,Soft acid,196.967,79,6,11,1.8,2.54,Transition Metal,19.3,0.129,1.29481302670815e-9
B,42,232,1295,Boron,Soft acid,10.811,5,2,13,1.2,2.04,Metalloid,2.34,1.026,1.0956110225992038e-5
Ba,40,218,2904,Barium,Hard acid,137.327,56,6,2,2.8,0.89,Alkaline Earth Metal,3.59,0.204,4.5418056936839726e-4
Be,36,121,1352,Beryllium,Hard acid,9.012,4,2,2,1.4,1.57,Alkaline Earth Metal,1.85,1.825,1.8924190390349884e-6
Bi,40,212,1821,Bismuth,Int. acid,208.98,83,6,15,1.6,2.02,Metal,9.81,0.122,1.7928180369805153e-7
Br,15,13,88,Bromine,Soft base,79.904,35,4,17,1.1,2.96,Halogen,3.12,0.474,8.764888180793632e-7
C,50,417,9650,Carbon,Soft base,12.011,6,2,14,0.91,2.55,Nonmetal,2.27,0.709,NA
Ca,56,1152,11362,Calcium,Hard acid,40.078,20,4,2,2.2,1,Alkaline Earth Metal,1.54,0.647,0.04562921596336126
Cd,20,25,253,Cadmium,Soft acid,112.411,48,5,12,1.7,1.69,Transition Metal,8.69,0.232,7.968080164357847e-8
Ce,38,132,893,Cerium,Hard acid,140.116,58,6,NA,2.7,1.12,Lanthanide,6.77,0.192,4.282843088342343e-5
Cl,48,352,2219,Chlorine,Int. base,35.453,17,3,17,0.97,3.16,Halogen,0.00321,0.479,2.4302644501291432e-4
Co,24,67,1334,Cobalt,Int. acid,58.933,27,4,9,1.7,1.88,Transition Metal,8.86,0.421,2.6493866546489843e-5
Cr,37,76,1115,Chromium,Hard acid,51.996,24,4,6,1.9,1.66,Transition Metal,7.15,0.449,1.3446135277353865e-4
Cs,28,23,82,Cesium,Hard acid,132.905,55,6,1,3.3,0.79,Alkali Metal,1.87,0.242,1.9920200410894614e-6
Cu,57,667,9489,Copper,Int. acid,63.546,29,4,11,1.6,1.9,Transition Metal,8.96,0.385,2.689227055470773e-5
F,47,380,3775,Fluorine,Hard base,18.998,9,2,17,0.57,3.98,Halogen,0.0017,0.824,5.507935413612362e-4
Fe,60,986,14730,Iron,Int. acid,55.845,26,4,8,1.7,1.83,Transition Metal,7.87,0.449,0.05194933816296705
Ga,12,7,7,Gallium,Hard acid,69.723,31,4,13,1.8,1.81,Metal,5.91,0.371,1.593616032871569e-5
Ge,21,29,64,Germanium,Hard acid,72.64,32,4,14,1.5,2.01,Metalloid,5.32,0.32,1.2948130267081501e-6
H,62,2708,13356,Hydrogen,Hard acid,1.007,1,1,1,0.79,2.2,Nonmetal,8.99e-5,14.304,NA
Hg,31,101,773,Mercury,Soft acid,200.59,80,6,12,1.8,2,Transition Metal,13.5,0.14,2.988030061634192e-8
I,18,24,126,Iodine,Soft base,126.904,53,5,17,1.3,2.66,Halogen,4.93,0.214,6.972070143813116e-7
In,14,10,46,Indium,Int. acid,114.818,49,5,13,2,1.78,Metal,7.31,0.233,5.1792521068325994e-8
Ir,11,13,71,Iridium,Soft acid,192.217,77,6,9,1.9,2.2,Transition Metal,22.6,0.131,3.685237076015503e-11
K,49,440,6449,Potassium,Hard acid,39.098,19,4,1,2.8,0.82,Alkali Metal,0.862,0.757,0.014965766677147784
La,26,42,154,Lanthanum,Hard acid,138.905,57,6,3,2.7,1.1,Lanthanide,6.15,0.195,1.9920200410894618e-5
Li,31,115,728,Lithium,Hard acid,6.941,3,2,1,2.1,0.98,Alkali Metal,0.534,3.582,1.593616032871569e-5
Mg,47,583,6611,Magnesium,Hard acid,24.305,12,3,2,1.7,1.31,Alkaline Earth Metal,1.74,1.023,0.02798962627528854
Mn,52,523,2492,Manganese,Int. acid,54.938,25,4,7,1.8,1.55,Transition Metal,7.44,0.479,7.713717595709775e-4
Mo,32,64,2427,Molybdenum,Int. acid,95.96,42,5,6,2,2.16,Transition Metal,10.2,0.251,7.968080164357847e-7
N,28,85,167,Nitrogen,Int. base,14.007,7,2,15,0.75,3.04,Nonmetal,0.00125,1.04,NA
Na,48,923,4877,Sodium,Hard acid,22.99,11,3,1,2.2,0.93,Alkali Metal,0.971,1.228,0.022740134180031967
Nb,36,141,677,Niobium,Hard acid,92.906,41,5,5,2.1,1.6,Transition Metal,8.57,0.265,7.968080164357846e-6
Nd,22,25,58,Neodymium,Hard acid,144.242,60,6,NA,2.6,1.14,Lanthanide,7.01,0.19,1.9920200410894618e-5
Ni,38,137,1590,Nickel,Int. acid,58.693,28,4,10,1.6,1.91,Transition Metal,8.91,0.444,5.8764591212139115e-5
O,66,3892,21754,Oxygen,Hard base,15.999,8,2,16,0.65,3.44,Nonmetal,0.00143,0.918,0.46229423576903883
Os,4,5,44,Osmium,Soft acid,190.23,76,6,8,1.9,2.2,Transition Metal,22.6,0.13,4.083641084233396e-11
P,50,549,2931,Phosphorus,Soft base,30.974,15,3,15,1.2,2.19,Nonmetal,1.82,0.769,5.650935754388485e-4
Pb,57,506,6728,Lead,Int. acid,207.2,82,6,14,1.8,2.33,Metal,11.3,0.129,1.0956110225992038e-5
Pd,15,68,184,Palladium,Soft acid,106.42,46,5,10,1.8,2.2,Transition Metal,12,0.244,1.4940150308170962e-9
Pt,14,26,217,Platinum,Soft acid,195.084,78,6,10,1.8,2.28,Transition Metal,21.5,0.133,1.4940150308170962e-9
REE,32,32,111,Rare-earth element,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rh,5,9,45,Rhodium,Soft acid,102.906,45,5,9,1.8,2.28,Transition Metal,12.4,0.243,NA
Ru,5,6,60,Ruthenium,Soft acid,101.07,44,5,8,1.9,2.2,Transition Metal,12.4,0.238,5.976060123268385e-10
S,59,1016,14012,Sulfur,Int. base,32.065,16,3,16,1.1,2.58,Nonmetal,2.07,0.71,4.0238804830007124e-4
Sb,43,235,2984,Antimony,Hard acid,121.76,51,5,15,1.5,2.05,Metalloid,6.69,0.207,1.9920200410894617e-7
Sc,15,13,40,Scandium,Hard acid,44.956,21,4,3,2.1,1.36,Transition Metal,2.99,0.568,2.18126194499296e-5
Se,30,118,370,Selenium,Soft base,78.96,34,4,16,1.2,2.55,Nonmetal,4.81,0.321,1.29481302670815e-7
Si,54,1321,16057,Silicon,Hard acid,28.086,14,3,14,1.5,1.9,Metalloid,2.33,0.705,0.282141769636404
Sn,39,82,1384,Tin,Hard acid,118.71,50,5,14,1.7,1.96,Metal,7.29,0.228,1.6932170349260424e-6
Sr,35,118,651,Strontium,Hard acid,87.62,38,5,2,2.5,0.95,Alkaline Earth Metal,2.64,0.301,3.187232065743139e-4
Ta,29,54,347,Tantalum,Int. acid,180.948,73,6,5,2.1,1.5,Transition Metal,16.7,0.14,6.972070143813116e-7
Te,34,161,870,Tellurium,Soft base,127.6,52,5,16,1.4,2.1,Metalloid,6.23,0.202,NA
Th,28,33,497,Thorium,Hard acid,232.038,90,7,NA,NA,1.3,Actinide,11.7,0.113,5.577656115050493e-6
Ti,42,312,3300,Titanium,Hard acid,47.867,22,4,4,2,1.54,Transition Metal,4.54,0.523,0.004298094082571656
Tl,22,70,52,Thallium,Soft acid,204.383,81,6,13,2.1,2.04,Metal,11.9,0.129,4.980050102723654e-7
U,43,281,1694,Uranium,Hard acid,238.029,92,7,NA,NA,1.38,Actinide,19,0.116,1.2948130267081501e-6
V,42,206,882,Vanadium,Hard acid,50.942,23,4,5,1.9,1.63,Transition Metal,6.11,0.489,1.3744938283517284e-4
W,34,37,1218,Tungsten,Int. acid,183.84,74,6,6,2,2.36,Transition Metal,19.3,0.132,9.960100205447307e-7
Y,40,115,650,Yttrium,Hard acid,88.906,39,5,3,2.3,1.22,Transition Metal,4.47,0.298,1.8924190390349886e-5
Yb,10,5,8,Ytterbium,Hard acid,173.054,70,6,NA,2.4,1.1,Lanthanide,6.97,0.155,1.8924190390349884e-6
Zn,44,255,6089,Zinc,Int. acid,65.38,30,4,12,1.5,1.65,Transition Metal,7.13,0.388,7.171272147922063e-5
Zr,33,118,1482,Zirconium,Hard acid,91.224,40,5,4,2.2,1.33,Transition Metal,6.51,0.278,1.314733227119045e-4
